@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {ROR,STD,LVR,AOR,COR,SOR,ORU,LOR,EOF}
@attribute methodReturn {none,I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,1,2,11,2,146,2,0.014,3875,ROR,V,83,203,5,yes
1,1,2,11,2,146,2,0.014,66,STD,V,66,156,5,yes
1,1,2,11,2,146,2,0.014,3809,STD,V,83,203,5,yes
1,1,1,5,1,146,2,0.014,20,STD,V,4,12,5,yes
1,1,2,10,2,146,2,0.014,2641,ROR,V,74,182,5,yes
1,1,2,10,2,146,2,0.014,63,STD,V,63,150,5,yes
1,1,2,10,2,146,2,0.014,2578,STD,V,74,182,5,yes
1,1,1,5,1,146,2,0.014,20,STD,V,4,12,5,yes
1,1,1,5,1,146,2,0.014,0,STD,V,0,0,5,no
1,1,1,3,1,146,2,0.014,2559,LVR,method,52,124,5,yes
1,1,1,3,1,146,2,0.014,2559,LVR,method,52,124,5,yes
1,1,2,11,2,146,2,0.014,1290,ROR,method,26,63,5,yes
1,1,2,11,2,146,2,0.014,22,STD,method,22,52,5,yes
1,1,2,11,2,146,2,0.014,1268,STD,method,26,63,5,yes
1,1,1,3,1,146,2,0.014,0,STD,V,0,0,5,no
1,1,1,3,1,146,2,0.014,0,STD,V,0,0,5,no
1,1,1,3,1,146,2,0.014,0,STD,V,0,0,5,no
1,1,1,4,1,146,2,0.014,0,STD,V,0,0,5,no
1,1,1,5,1,146,2,0.014,0,STD,V,0,0,5,no
1,0,1,8,1,61,35,0.365,165038,STD,V,949,2959,1,yes
1,0,2,11,2,61,35,0.365,165038,ROR,V,949,2959,1,yes
1,0,2,11,2,61,35,0.365,165038,STD,V,949,2959,1,yes
1,0,1,32,1,61,35,0.365,165038,STD,V,949,2959,1,yes
1,0,1,32,1,61,35,0.365,165038,STD,V,949,2959,1,yes
1,0,1,32,1,61,35,0.365,165038,STD,V,949,2959,1,yes
1,0,1,32,1,61,35,0.365,165038,STD,V,949,2959,1,yes
1,0,1,32,1,61,35,0.365,165038,STD,V,949,2959,1,yes
1,0,1,32,1,61,35,0.365,165038,STD,V,949,2959,1,yes
1,0,1,32,1,61,35,0.365,165038,STD,V,949,2959,1,yes
1,0,1,32,1,61,35,0.365,165038,STD,V,949,2959,1,yes
1,0,1,32,1,61,35,0.365,165038,STD,V,949,2959,1,yes
1,0,1,32,1,61,35,0.365,165038,STD,V,949,2959,1,yes
