@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {ROR,STD,LVR,AOR,COR,SOR,ORU,LOR,EOF}
@attribute methodReturn {none,I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
0,0,0,0,0,19,2,0.095,1,LVR,none,15,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,0,0,0,19,2,0.095,1,LVR,none,16,23,0,yes
0,0,2,8,3,19,2,0.095,22,ROR,method,6,16,0,yes
0,0,2,8,3,19,2,0.095,22,ROR,method,6,16,0,yes
