@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {ROR,STD,LVR,AOR,COR,SOR,ORU,LOR,EOF}
@attribute methodReturn {none,I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,STD,none,27,318,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,0,0,0,41,5,0.109,1,LVR,none,28,320,0,no
0,0,1,3,1,41,5,0.109,2873,ROR,Z,19,139,0,yes
0,0,1,3,1,41,5,0.109,2873,ROR,Z,19,139,0,yes
0,0,1,3,1,41,5,0.109,2873,COR,Z,19,139,0,no
0,0,1,3,1,41,5,0.109,2873,COR,Z,19,139,0,yes
0,0,1,3,1,41,5,0.109,2873,COR,Z,19,139,0,yes
0,0,1,3,1,41,5,0.109,2873,COR,Z,19,139,0,yes
0,0,1,3,1,41,5,0.109,2291,ROR,Z,18,139,0,yes
1,29,0,0,0,41,5,0.109,202,LVR,none,27,315,0,yes
1,29,0,0,0,41,5,0.109,202,LVR,none,27,315,0,yes
1,29,0,0,0,41,5,0.109,202,LVR,none,27,315,0,no
1,29,0,0,0,41,5,0.109,202,LVR,none,27,315,0,no
1,29,2,5,2,41,5,0.109,202,ROR,V,26,313,0,yes
1,29,2,4,1,41,5,0.109,1,ROR,method,1,7,0,no
1,29,2,3,1,41,5,0.109,31,ROR,method,1,2,0,no
1,29,2,6,2,41,5,0.109,1066,ROR,method,25,293,0,yes
1,29,1,3,1,41,5,0.109,3,LVR,V,4,31,0,yes
1,29,1,3,1,41,5,0.109,3,LVR,V,4,31,0,yes
1,29,1,3,1,41,5,0.109,3,STD,V,4,31,0,yes
1,29,1,3,1,41,5,0.109,12,STD,V,11,90,0,yes
1,29,2,9,2,41,5,0.109,12,STD,V,11,90,0,yes
1,29,2,5,2,41,5,0.109,122,ROR,V,16,137,0,yes
1,29,2,5,2,41,5,0.109,4,STD,V,2,26,0,yes
1,29,2,8,2,41,5,0.109,176,LVR,I,15,103,0,no
