subject,precision.pmt,precision.rg,recall.pmt,recall.rg,fmeasure.pmt,fmeasure.rg,auc.pmt,auc.rg
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\aho-corasick.arff,0.941718816,0.139851274,0.938016529,0.373966942,0.938535832,0.203572982,0.970351731,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\anomaly-detection.arff,0.959946595,0.00388195,0.887850467,0.062305296,0.910845606,0.007308539,0.957973422,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,1,1.52E-06,1,0.001231148,1,3.03E-06,1,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,1,0.171921475,1,0.414634146,1,0.243061396,1,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,0.997903564,3.56E-04,0.997641509,0.018867925,0.997709458,6.99E-04,0.999098558,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,0.856593577,0.333667683,0.826974268,0.577639752,0.817739728,0.422996039,0.862257806,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,0.99167381,0.001443583,0.990207599,0.037994516,0.990638581,0.002781485,0.996931096,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,0.953917051,0.026014568,0.935483871,0.161290323,0.939569892,0.044802867,0.984615385,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,0.959869134,0.020029251,0.946269262,0.141524736,0.949521909,0.035092102,0.97907448,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,0.87571666,0.077126949,0.817934783,0.277717391,0.826896944,0.120726148,0.899469754,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\clojure-maven-plugin.arff,0.984206857,8.20E-04,0.981702466,0.028639618,0.982685153,0.001594782,0.992037492,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cloudhopper-smpp.arff,0.929558274,0.155451668,0.922587487,0.394273595,0.923269788,0.222985888,0.950957719,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\compress.arff,0.881124756,0.250421407,0.861204718,0.50042123,0.859351428,0.333801472,0.901876852,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\computoser.arff,0.983179743,0.001411167,0.971946796,0.037565498,0.975402805,0.002720149,0.988146918,0.5
