subject,measure,tool,value
apns,precision,major,0.941809683
apns,recall,major,0.940898345
apns,F-measure,major,0.940928089
apns,auc,major,0.985478921
apns,error,major,0.021276596
apns,precision,pit,0.907758425
apns,recall,pit,0.8955495
apns,F-measure,pit,0.895486768
apns,auc,pit,0.939921717
apns,error,pit,0.082652134
lafj,precision,major,0.852890533
lafj,recall,major,0.810324826
lafj,F-measure,major,0.787400251
lafj,auc,major,0.789715023
lafj,error,major,0.189288476
lafj,precision,pit,0.886796581
lafj,recall,pit,0.875596971
lafj,F-measure,pit,0.868028232
lafj,auc,pit,0.857129059
lafj,error,pit,0.105998835
lang,precision,major,0.683317977
lang,recall,major,0.73196347
lang,F-measure,major,0.684007661
lang,auc,major,0.567769842
lang,error,major,0.163926941
lang,precision,pit,0.88281516
lang,recall,pit,0.884215716
lang,F-measure,pit,0.880787528
lang,auc,pit,0.882039397
lang,error,pit,0.049491808
msg,precision,major,0.906404369
msg,recall,major,0.890311919
msg,F-measure,major,0.886455255
msg,auc,major,0.893275926
msg,error,major,0.107209254
msg,precision,pit,0.921824556
msg,recall,pit,0.910854313
msg,F-measure,pit,0.909798611
msg,auc,pit,0.921596993
msg,error,pit,0.082817444
uaa,precision,major,0.923130231
uaa,recall,major,0.914719626
uaa,F-measure,major,0.915797257
uaa,auc,major,0.98293717
uaa,error,major,0.058021807
uaa,precision,pit,0.925023328
uaa,recall,pit,0.905380618
uaa,F-measure,pit,0.909122881
uaa,auc,pit,0.955114208
uaa,error,pit,0.078722103
wire,precision,major,0.838463833
wire,recall,major,0.77756654
wire,F-measure,major,0.769367404
wire,auc,major,0.841485055
wire,error,major,0.209125475
wire,precision,pit,0.86111626
wire,recall,pit,0.850463679
wire,F-measure,pit,0.85277175
wire,auc,pit,0.914537256
wire,error,pit,0.059119011
