subjects,AUC-naive,AUC-balance,AUC-cost,yesratio
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,1,1,1,0.001231148
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\SansOrm.arff,1,1,1,0.001538462
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\gwt-bootstrap.arff,1,0.999975882,1,0.002033792
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\evernote-sdk-java.arff,0.999715371,0.999548471,0.9996822,0.002075782
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\maven-s3-wagon.arff,0.898520085,0.904334038,0.905391121,0.002109705
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\storm-elastic-search.arff,0.98627451,0.98627451,0.98627451,0.00390625
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\getdown.arff,0.997409278,0.996779044,0.997363233,0.017112632
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\hadoop-book.arff,0.993094974,0.993433883,0.993320913,0.017998941
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,0.999098558,0.998197115,0.999098558,0.018867925
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\metrics-statsd.arff,0.999411303,0.999411303,0.999411303,0.018867925
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\TProfiler.arff,0.99996811,0.99996811,0.999673124,0.021362587
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\fastweixin.arff,0.990690987,0.990919547,0.990312021,0.027543564
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\clojure-maven-plugin.arff,0.992037492,0.994608245,0.992788243,0.028639618
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\javacpp.arff,0.995153323,0.995586505,0.995288201,0.032688019
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\spr-mvc-hib.arff,0.895652174,0.87826087,0.860869565,0.033613445
